model,mode,success,returncode,timed_out,elapsed_s,tokens,peak_gpu_memory_mb,kv,require_counters,prompt_tps,generation_tps,cache_hits,cache_misses,cache_evictions,hit_rate_pct,bytes_transferred_mb,has_evm_counters,cuda_error,artifact,env,command,log
qwen15_moe,native_gpu,True,0,False,18.6,32,7966,gpu,False,125.00,108.70,0,0,0,0.00,0.00,False,False,False,"{""EVM_DISABLE"": ""1""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\Qwen1.5-MoE-A2.7B-Chat-Q3_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 32 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload,.\results\controlled_final\logs\qwen15_moe_native_gpu.log
qwen15_moe,cpu_backed_residency,True,0,False,4.6,32,1830,gpu,False,58.50,33.30,0,0,0,0.00,0.00,False,False,False,"{""EVM_CAPACITY_PCT"": ""33"", ""EVM_CPU_BACKING"": ""1"", ""EVM_TARGET_EXPERT_COUNT"": ""60""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\Qwen1.5-MoE-A2.7B-Chat-Q3_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 32 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload --no-mmap,.\results\controlled_final\logs\qwen15_moe_cpu_backed_residency.log
qwen15_moe,gpu_backed_remap,True,0,False,5.8,32,11067,gpu,True,49.10,41.00,8058,10566,7128,43.27,15007.01,True,False,False,"{""EVM_CAPACITY_PCT"": ""33"", ""EVM_CUDA_FREE_RESERVE_MB"": ""1024"", ""EVM_EXPERT_POOL_MB"": ""512"", ""EVM_PREFILL_CAPACITY_PCT"": ""50"", ""EVM_STRICT_BUDGET"": ""1"", ""EVM_TARGET_EXPERT_COUNT"": ""60""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\Qwen1.5-MoE-A2.7B-Chat-Q3_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 32 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload,.\results\controlled_final\logs\qwen15_moe_gpu_backed_remap.log
qwen15_moe,unified_streaming,True,0,False,4.9,32,4943,gpu,True,64.20,30.50,8058,10566,7128,43.27,15007.01,True,False,False,"{""EVM_CAPACITY_PCT"": ""33"", ""EVM_CPU_BACKING"": ""1"", ""EVM_CUDA_FREE_RESERVE_MB"": ""1024"", ""EVM_CUDA_STREAMING"": ""1"", ""EVM_EXPERT_POOL_MB"": ""512"", ""EVM_PREFILL_CAPACITY_PCT"": ""50"", ""EVM_STRICT_BUDGET"": ""1"", ""EVM_TARGET_EXPERT_COUNT"": ""60""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\Qwen1.5-MoE-A2.7B-Chat-Q3_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 32 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload --no-mmap,.\results\controlled_final\logs\qwen15_moe_unified_streaming.log
qwen15_moe,unified_fusion_aware,True,0,False,4.9,32,4942,gpu,True,56.50,36.20,9486,14458,11606,39.62,19605.95,True,False,False,"{""EVM_CAPACITY_PCT"": ""33"", ""EVM_CPU_BACKING"": ""1"", ""EVM_CUDA_FREE_RESERVE_MB"": ""1024"", ""EVM_CUDA_STREAMING"": ""1"", ""EVM_EXPERT_POOL_MB"": ""512"", ""EVM_FUSION_AWARE"": ""1"", ""EVM_PREFILL_CAPACITY_PCT"": ""50"", ""EVM_STRICT_BUDGET"": ""1"", ""EVM_TARGET_EXPERT_COUNT"": ""60""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\Qwen1.5-MoE-A2.7B-Chat-Q3_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 32 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload --no-mmap,.\results\controlled_final\logs\qwen15_moe_unified_fusion_aware.log
deepseek_coder_v2_lite,native_gpu,True,0,False,6.4,16,10785,gpu,False,103.30,31.70,0,0,0,0.00,0.00,False,False,False,"{""EVM_DISABLE"": ""1""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\DeepSeek-Coder-V2-Lite-Base-Q4_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 16 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload,.\results\controlled_final\logs\deepseek_coder_v2_lite_native_gpu.log
deepseek_coder_v2_lite,cpu_backed_residency,True,0,False,5.6,16,1699,gpu,False,39.50,18.90,0,0,0,0.00,0.00,False,False,False,"{""EVM_CAPACITY_PCT"": ""33"", ""EVM_CPU_BACKING"": ""1"", ""EVM_TARGET_EXPERT_COUNT"": ""64""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\DeepSeek-Coder-V2-Lite-Base-Q4_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 16 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload --no-mmap,.\results\controlled_final\logs\deepseek_coder_v2_lite_cpu_backed_residency.log
deepseek_coder_v2_lite,gpu_backed_remap,True,0,False,7.2,16,15343,gpu,True,104.30,32.90,10518,6456,2418,61.97,11754.53,True,False,False,"{""EVM_CAPACITY_PCT"": ""33"", ""EVM_CUDA_FREE_RESERVE_MB"": ""1024"", ""EVM_EXPERT_POOL_MB"": ""1024"", ""EVM_PREFILL_CAPACITY_PCT"": ""50"", ""EVM_STRICT_BUDGET"": ""1"", ""EVM_TARGET_EXPERT_COUNT"": ""64""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\DeepSeek-Coder-V2-Lite-Base-Q4_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 16 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload,.\results\controlled_final\logs\deepseek_coder_v2_lite_gpu_backed_remap.log
deepseek_coder_v2_lite,unified_streaming,True,0,False,5.4,16,6257,gpu,True,58.40,23.70,10518,6456,2418,61.97,11754.53,True,False,False,"{""EVM_CAPACITY_PCT"": ""33"", ""EVM_CPU_BACKING"": ""1"", ""EVM_CUDA_FREE_RESERVE_MB"": ""1024"", ""EVM_CUDA_STREAMING"": ""1"", ""EVM_EXPERT_POOL_MB"": ""1024"", ""EVM_PREFILL_CAPACITY_PCT"": ""50"", ""EVM_STRICT_BUDGET"": ""1"", ""EVM_TARGET_EXPERT_COUNT"": ""64""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\DeepSeek-Coder-V2-Lite-Base-Q4_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 16 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload --no-mmap,.\results\controlled_final\logs\deepseek_coder_v2_lite_unified_streaming.log
deepseek_coder_v2_lite,unified_fusion_aware,True,0,False,5.6,16,6270,gpu,True,39.70,22.40,10591,11195,7135,48.61,19093.42,True,False,False,"{""EVM_CAPACITY_PCT"": ""33"", ""EVM_CPU_BACKING"": ""1"", ""EVM_CUDA_FREE_RESERVE_MB"": ""1024"", ""EVM_CUDA_STREAMING"": ""1"", ""EVM_EXPERT_POOL_MB"": ""1024"", ""EVM_FUSION_AWARE"": ""1"", ""EVM_PREFILL_CAPACITY_PCT"": ""50"", ""EVM_STRICT_BUDGET"": ""1"", ""EVM_TARGET_EXPERT_COUNT"": ""64""}",.\llama.cpp\build\bin\Release\llama-cli.exe -m .\models\DeepSeek-Coder-V2-Lite-Base-Q4_K_M.gguf -p Explain virtual memory in operating systems in one concise paragraph. -n 16 -c 256 -ngl 99 -ub 4 --temp 0.0 --kv-offload --no-mmap,.\results\controlled_final\logs\deepseek_coder_v2_lite_unified_fusion_aware.log
